,Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Prioritas,KMeans_Cluster
38,40,Cap FL 4.5uF 250VAC 50-60,1,0,0.0,0,0,1,880,2023,1,0
39,41,Cap Keramik 10kP,106,0,99.0,0,99,205,298301,2023,0,0
40,42,Cap Keramik 220kP 50V,184,0,0.0,0,0,184,414000,2023,0,0
41,44,Cap Milar 100N,100,0,69.0,0,69,169,241590,2023,0,0
42,46,Cap Milar 2.2kP,0,0,99.0,0,99,99,10989,2023,0,0
43,51,Cap Poly 220kP 250V,132,0,0.0,0,0,132,297000,2023,0,0
44,53,Cap Elect 0.1uF 100V,40,0,0.0,0,0,40,880000,2023,0,0
45,54,Cap Elect 0.1uF 400V,39,0,0.0,0,0,39,78000,2023,0,0
46,55,Cap Elect 100uF 10V,38,0,0.0,0,0,38,33440,2023,0,0
47,56,Cap Elect 10uF 10V,25,0,0.0,0,0,25,22000,2023,0,0
48,58,Cap Elect 22uF 250V,20,0,0.0,0,0,20,40000,2023,0,0
49,60,Cap Elect 33uF 250V,20,0,0.0,0,0,20,44000,2023,0,0
50,61,Cap Elect 470uF 250V,19,0,0.0,0,0,19,418000,2023,0,0
51,63,Cap Elect 680uF 250V,19,0,0.0,0,0,19,1615000,2023,0,0
52,66,Cap Tantalum 10uF 25V,14,0,99.0,0,99,113,471060,2023,0,0
53,67,Cap Tantalum 22nF Non Pol,0,0,99.0,0,99,99,2197800,2023,0,0
54,68,Cap Tantalim Multilayer 0.1uF 50V,42,0,99.0,0,99,141,424170,2023,0,0
55,72,Coil 20 mH,0,0,19.0,0,19,19,1898100,2023,0,0
56,73,Conector BNC - RAG,86,0,0.0,0,0,86,253098,2023,0,0
57,74,Conector BNC Probe,50,0,0.0,0,0,50,1402500,2023,0,0
58,75,Conector DB 9,40,0,39.0,0,39,79,327870,2023,0,0
59,77,Conector Header Putih 2P,17,0,0.0,0,0,17,11220,2023,0,0
60,78,Conector RJ 45,192,0,1549.0,0,1549,1741,3297165,2023,0,2
61,79,Conector RJ 11,4,0,0.0,0,0,4,1320,2023,1,0
62,83,Resistor 220Ohm 0.25W,0,0,99.0,0,99,99,71181,2023,0,0
63,84,Cover Conector DB 9,132,0,0.0,0,0,132,8712000,2023,0,0
64,85,Cover Conector DB 25,58,0,0.0,0,0,58,92220,2023,0,0
65,87,Diac 30V,0,0,29.0,0,29,29,32190,2023,0,0
66,88,Diac HT 32,30,0,0.0,0,0,30,135000,2023,0,0
67,91,Diode IN 1508,20,0,0.0,0,0,20,23000,2023,0,0
68,92,Diode IN 34A,0,0,49.0,0,49,49,299145,2023,0,0
69,97,Diode 20A,7,0,29.0,0,29,36,496860,2023,0,0
70,98,Diode 2A,208,0,0.0,0,0,208,343200,2023,0,0
71,101,Diode Bridge 30A,3,0,9.0,0,9,12,65484,2023,0,0
72,103,Diode IN 4002,429,0,199.0,0,199,628,174604,2023,0,0
73,104,Diode IN 4004,24,0,0.0,0,0,24,5280,2023,0,0
74,105,Diode IN 4007,594,0,49.0,0,49,643,141375,2023,0,0
75,106,Diode IN 4148,461,0,329.0,0,329,790,137939,2023,0,0
76,107,Diode IN 60,0,0,199.0,0,199,199,110445,2023,0,0
77,108,Diode Silicon 3A  1N5402,45,0,9.0,5,4,49,43465,2023,0,0
78,109,Diode Zener 24V,288,0,0.0,0,0,288,55584,2023,0,0
79,110,Diode Zener 5.1V,0,0,149.0,0,149,149,82695,2023,0,0
80,111,Diode Zener 6.2V,218,0,199.0,0,199,417,470145,2023,0,0
81,116,Fitting Lamp Keramik,5,0,0.0,0,0,5,36740,2023,1,0
82,117,Fuse Besar 1A,217,0,0.0,0,0,217,143220,2023,0,0
83,118,Fuse Besar 2A,300,0,0.0,0,0,300,422200,2023,0,0
84,120,Fuse Besar 3A,447,0,0.0,0,0,447,295020,2023,0,0
85,122,Fuse Kecil 3A,184,0,49.0,5,44,228,86265,2023,0,0
86,124,"Heat Sink Sirip Kecil kecil ukuran 1,5 cm x 2 cm",196,0,59.0,0,59,255,626860,2023,0,0
87,125,IC 27128,10,0,0.0,0,0,10,300000,2023,0,0
88,126,IC 27256,11,0,0.0,0,0,11,302500,2023,0,0
89,127,IC 27C512,16,0,0.0,0,0,16,627200,2023,0,0
90,128,IC 62256,27,0,19.0,27,-8,19,738150,2023,1,0
91,129,IC 74C922,10,0,0.0,0,0,10,747500,2023,0,0
92,131,IC 74HC04,34,0,0.0,0,0,34,261800,2023,0,0
93,132,IC74HC138,50,0,0.0,0,0,50,330000,2023,0,0
94,133,IC 74HC14,83,0,0.0,0,0,83,346060,2023,0,0
95,134,IC 74HC20,75,0,0.0,0,0,75,1260000,2023,0,0
96,135,IC 74HC36,57,0,0.0,0,0,57,295830,2023,0,0
97,136,IC 74HC541   74HCT541,48,0,0.0,0,0,48,153888,2023,0,0
98,139,IC 74HCT00,20,0,0.0,0,0,20,19580,2023,0,0
99,141,IC 74HCT138,20,0,109.0,20,89,109,544455,2023,0,0
100,142,IC 74HCT14,30,0,0.0,0,0,30,42900,2023,0,0
101,143,IC 74HCT193,10,0,0.0,0,0,10,34380,2023,0,0
102,144,IC 74HCT240,40,0,0.0,0,0,40,112000,2023,0,0
103,145,IC 74HCT245,31,0,0.0,0,0,31,413850,2023,0,0
104,146,IC 74HCT273,10,0,0.0,0,0,10,28000,2023,0,0
105,147,IC 74HCT32,10,0,0.0,0,0,10,133500,2023,0,0
106,148,IC 74HCT36,10,0,0.0,0,0,10,60000,2023,0,0
107,150,IC 74HCT74,10,0,0.0,0,0,10,17800,2023,0,0
108,151,IC 7805,8,0,49.0,8,41,49,135975,2023,0,0
109,152,IC 8255,25,0,9.0,20,-11,14,344820,2023,1,0
110,155,IC ADC 0804,0,0,99.0,0,99,99,5494500,2023,0,0
111,156,IC ADC 0808,30,0,0.0,0,0,30,1350000,2023,0,0
112,157,IC AT 28C64,30,0,29.0,25,4,34,1751050,2023,0,0
113,160,IC ATMEGA 16,9,0,0.0,0,0,9,297000,2023,0,0
114,161,IC DAC 0808,33,0,99.0,0,99,132,4280760,2023,0,0
115,162,IC Inverter 7405,10,0,0.0,0,0,10,165000,2023,0,0
116,163,IC LA 1260,52,0,0.0,0,0,52,164476,2023,0,0
117,164,IC LA 3361,60,0,0.0,0,0,60,303600,2023,0,0
118,165,IC LF 351,8,0,0.0,0,0,8,26400,2023,0,0
119,166,IC LM 1237,20,0,0.0,0,0,20,93000,2023,0,0
120,167,IC LM 2469,20,0,0.0,0,0,20,93000,2023,0,0
121,168,IC LM 2480,20,0,0.0,0,0,20,93000,2023,0,0
122,169,IC LM 301,150,0,0.0,100,-100,50,237350,2023,1,0
123,170,IC LM 324,0,0,49.0,0,49,49,168609,2023,0,0
124,172,IC LM 35,0,0,99.0,0,99,99,1648350,2023,0,0
125,173,IC LM 390,10,0,0.0,0,0,10,27500,2023,0,0
126,174,IC LM 723,96,0,0.0,0,0,96,198048,2023,0,0
127,175,IC LM 7809,397,0,49.0,0,49,446,1004425,2023,0,0
128,176,IC MAX 232,15,0,0.0,0,0,15,693000,2023,0,0
129,177,IC MAX 232CWE,30,0,29.0,30,-1,29,209235,2023,1,0
130,178,IC MAX 232A,7,0,0.0,0,0,7,8099,2023,0,0
131,182,IC MC 34064,10,0,0.0,0,0,10,55000,2023,0,0
132,183,IC SN 75176,20,0,0.0,0,0,20,65000,2023,0,0
133,184,IC TDA 8172,20,0,0.0,0,0,20,200000,2023,0,0
134,186,IC TL 074,20,0,0.0,0,0,20,26400,2023,0,0
135,187,IC TTL 7406,92,0,0.0,0,0,92,138000,2023,0,0
136,188,IC TTL 7408,49,0,0.0,0,0,49,3603313,2023,0,0
137,190,IC TTL 74139,25,0,9.0,25,-16,9,89910,2023,1,0
138,191,IC TTL 74240,56,0,0.0,0,0,56,138488,2023,0,0
139,192,IC TTL 74245,143,0,0.0,0,0,143,600600,2023,0,0
140,193,IC TTL 74290,140,0,0.0,0,0,140,3500000,2023,0,0
141,194,IC TTL 74293,140,0,0.0,0,0,140,770000,2023,0,0
142,195,IC TTL 74393,46,0,0.0,0,0,46,75900,2023,0,0
143,196,IC TTL 7447,20,0,0.0,0,0,20,215600,2023,0,0
144,197,IC TTL 7448,150,0,0.0,0,0,150,10680000,2023,0,0
145,198,IC TTL 7476,15,0,0.0,0,0,15,1068000,2023,0,0
146,199,IC TTL 7490,53,0,0.0,0,0,53,408100,2023,0,0
147,204,IF FM,10,0,0.0,0,0,10,52000,2023,0,0
148,205,Induktor 0.1 mH,19,0,0.0,0,0,19,62700,2023,0,0
149,216,Inti Trafo Ferrit & bobin PQ3220 TDK,10,0,0.0,0,0,10,767800,2023,0,0
150,219,Isolasi National 5milsx3 4,40,0,17.0,40,-23,17,152847,2023,1,0
151,221,"Jack Banana Hitam, merah",151,0,649.0,0,649,800,2321110,2023,0,2
152,222,Jack Banana Trainer AVCC besar utk modul,270,0,49.0,0,49,319,3477750,2023,0,0
153,224,Jack Banana Trainer AVCC Kecil  u  modul,130,0,0.0,0,0,130,757900,2023,0,0
154,226,Jack Mono Besar,0,0,49.0,0,49,49,217560,2023,0,0
155,227,Jack Stereo Kecil Kuningan,0,0,9.0,0,9,9,17982,2023,0,0
156,231,Jack Mono Kecil,30,0,0.0,0,0,30,52800,2023,0,0
157,232,Jumper 2 pin,58,0,0.0,0,0,58,232000,2023,0,0
158,233,Penyangga PCB 1 cm,80,0,29.0,0,29,109,92285,2023,0,0
159,235,Kertas Gosok  Duco 200,0,0,19.0,0,19,19,148048,2023,0,0
160,236,Kertas Gosok  Duco 500,0,0,109.0,0,109,109,222033,2023,0,0
161,243,"BNC-1 Connector (Crimping)Kompatibel dgn kabel video 1505A, ADC BNC-TP1",0,0,2.0,0,2,2,555000,2023,1,0
162,244,Microphone Samson Q7,0,0,2.0,0,2,2,1276500,2023,1,0
163,247,Kristal 11.0592 Mhz,0,0,149.0,0,149,149,413475,2023,0,0
164,251,Kuas 2.5,0,0,15.0,0,15,15,89910,2023,0,0
165,254,Kuas 1,0,0,24.0,0,24,24,115080,2023,0,0
166,256,LCD Karakter 8x2 line,0,0,1.0,0,1,1,33300,2023,1,0
167,257,Led Kecil Hijau,132,0,149.0,0,149,281,99353,2023,0,0
168,258,Led Kecil Kuning,75,0,99.0,0,99,174,60423,2023,0,0
169,259,"Led Superbright 5mm, biru",150,0,99.0,100,-1,149,49423,2023,0,0
170,262,Penyangga PCB 3cm Kuningan,0,0,179.0,0,179,179,496725,2023,0,0
171,263,Penyangga PCB 2cm kuningan,385,0,149.0,0,149,534,754280,2023,0,0
172,266,Karet Penyangga Besar,158,0,0.0,0,0,158,1703240,2023,0,0
173,276,Mata Solder Crystal 40W,10,0,15.0,10,5,15,333000,2023,1,0
174,277,"MCB 6A, 400V 1 Pole",0,0,14.0,0,14,14,2685312,2023,0,0
175,288,Resistor 220Ohm 0.5W,0,0,199.0,0,199,199,143081,2023,0,0
176,289,Key Pad Matrik 4x4,10,0,0.0,0,0,10,578500,2023,0,0
177,290,Kikir Set Sedang,1,0,0.0,0,0,1,12430,2023,1,0
178,293,Konector BNC  N,2,0,0.0,0,0,2,6230,2023,1,0
179,294,KOnector BNC P,16,0,0.0,0,0,16,448800,2023,0,0
180,295,Konector BNC RAG,40,0,0.0,0,0,40,267000,2023,0,0
181,296,Kotak Kontak (inbow) arde,12,0,24.0,12,12,24,143856,2023,0,0
182,299,Kotak Sekring,4,0,0.0,0,0,4,264000,2023,1,0
183,301,Kuas 1.5,1,0,56.0,0,56,57,443502,2023,0,0
184,306,Resistor 27K 0.5W,0,0,199.0,0,199,199,143081,2023,0,0
185,313,Potensio Trimmer 100K,0,0,58.0,0,58,58,276231,2023,0,0
186,314,Potensio Trimmer (VR) 20K,0,0,99.0,0,99,99,130482,2023,0,0
187,315,Potensio Trimmer (VR) 50K,0,0,9.0,0,9,9,6471,2023,0,0
188,322,Resistor 3.3K 0.25W,0,0,49.0,0,49,49,35231,2023,0,0
189,323,Resistor 3.3K 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
190,324,LCD TM162A (16x2),19,0,39.0,19,20,39,995670,2023,0,0
191,325,LDR,124,0,149.0,0,149,273,266571,2023,0,0
192,326,Led 3mm,0,0,174.0,0,174,174,48198,2023,0,0
193,327,Led Merah Kecil,224,0,199.0,0,199,423,142738,2023,0,0
194,328,Led Merah Besar,10,0,99.0,0,99,109,31823,2023,0,0
195,330,Led Infra Red,12,0,0.0,0,0,12,30000,2023,0,0
196,334,Led Warna-Warni,120,0,9.0,0,9,129,88515,2023,0,0
197,337,Majun Putih,52,0,0.0,12,-12,40,444000,2023,0,0
198,338,"Mata Bor 0.8-13mm, Metal Alpen",1,0,2.0,0,2,3,2883504,2023,1,0
199,339,"Mata Bor 1-13mm, Khusus Baja",0,0,1.0,0,1,1,294471,2023,1,0
200,340,Mic Condensor Kecil,18,0,0.0,0,0,18,765000,2023,0,0
201,342,Motor DC 12V,2,0,0.0,0,0,2,90000,2023,1,0
202,350,Mur+Baut+Ring 1cm 3x10mm,0,0,549.0,0,549,549,328851,2023,0,2
203,353,Mur+Baut+Ring 4x20mm,0,0,99.0,0,99,99,118602,2023,0,0
204,360,"Obeng - Vanadium 7mm, Pnj 12",17,0,0.0,0,0,17,1193060,2023,0,0
205,364,"Obeng + Vanadium 7mm, Pnj 12",13,0,0.0,0,0,13,912340,2023,0,0
206,367,Obeng (-) (Sedang) Panjang,2,0,0.0,0,0,2,140360,2023,1,0
207,369,Obeng Sock,2,0,0.0,1,-1,1,70180,2023,1,0
208,370,Opto Coupler 4N 26,34,0,0.0,0,0,34,71060,2023,0,0
209,371,Opto Coupler Model U Standar,55,0,0.0,0,0,55,544500,2023,0,0
210,372,Palu,4,0,0.0,1,-1,3,242220,2023,1,0
211,375,PCB Polos 10cm x 20cm,30,0,21.0,0,21,51,512760,2023,0,0
212,376,PCB Dot Matrik 10cm x 20cm,27,0,152.0,10,142,169,1536760,2023,0,0
213,377,PCB Double Layer Fiber 200cm x 100cm,7,0,0.0,0,0,7,9240000,2023,0,0
214,380,PCB Polos,8,0,0.0,0,0,8,5162000,2023,0,0
215,382,PCB Single Layer Fiber 200cm x 100cm,6,0,1.0,1,0,6,4933500,2023,1,0
216,384,Resistor 300Ohm 1W,0,0,29.0,0,29,29,20851,2023,0,0
217,385,Peredam Probe 10:01:00Am,3,0,0.0,0,0,3,2970000,2023,1,0
218,388,Photo Diode,110,0,399.0,100,299,409,1567715,2023,0,2
219,396,Potensio 250K,6,0,0.0,0,0,6,16020,2023,0,0
220,399,Potensio Mono 100K,5,0,0.0,0,0,5,22500,2023,1,0
221,400,Potensio Mono 10K,10,0,99.0,0,99,109,307725,2023,0,0
222,401,Potensio Mono 1K,0,0,19.0,0,19,19,105450,2023,0,0
223,403,Potensio Mono 50K,50,0,0.0,0,0,50,71500,2023,0,0
224,404,Potensio Mono 5K,0,0,109.0,0,109,109,332668,2023,0,0
225,409,"Probe Oscilosscope Kenwood, PC-53,  textronix TPP0200, 10x200MHz, 10M 12pF, 300 Vrms CATII",3,0,0.0,0,0,3,4290000,2023,1,0
226,413,"Probe Oscilosscope 10:1, DC to 100MHz, (LF-210E)",20,0,0.0,0,0,20,7700000,2023,0,0
227,414,Project Board GL-12,27,0,28.0,10,18,45,1107540,2023,0,0
228,415,NTC,121,0,0.0,0,0,121,3630000,2023,0,0
229,417,Push Button 4 Pin,0,0,199.0,0,199,199,110445,2023,0,0
230,418,Push Button Besar Bulat 4Pin,4,0,0.0,0,0,4,7120,2023,1,0
231,419,Push Button Kecil Kotak 2Pin,68,0,0.0,0,0,68,181560,2023,0,0
232,426,Resistor 1Ohm 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
233,428,Resistor 0.47Ohm 5W,100,0,0.0,0,0,100,396500,2023,0,0
234,430,Resistor 1.5K 0.25W,115,0,0.0,0,0,115,20470,2023,0,0
235,431,Resistor 100K 0.5W 5%,232,0,99.0,0,99,331,326381,2023,0,0
236,433,Resistor 100Ohm 0.25W,122,0,0.0,0,0,122,112420,2023,0,0
237,434,Resistor 100Ohm 0.5W,0,0,399.0,0,399,399,191121,2023,0,2
238,435,Resistor 100Ohm 5W,300,0,0.0,0,0,300,750000,2023,0,0
239,436,Resistor 10K 0.5W 5%,0,0,299.0,0,299,299,214981,2023,0,0
240,437,Resistor 10K 1W,17,0,0.0,0,0,17,42500,2023,0,0
241,438,Resistor 10M 0.5W 5%,75,0,0.0,0,0,75,3750,2023,0,0
242,441,Resistor 120Ohm 5W,0,0,99.0,0,99,99,189882,2023,0,0
243,442,Resistor 15K 0.25W,200,0,99.0,0,99,299,130801,2023,0,0
244,444,Resistor 1K 0.25W,44,0,249.0,0,249,293,227431,2023,0,0
245,445,Resistor 1K 0.5W 5%,100,0,424.0,0,424,524,174216,2023,0,2
246,446,Resistor 1K 1W,71,0,0.0,0,0,71,78100,2023,0,0
247,449,Resistor 2.2K 0.5W 5%,309,0,299.0,0,299,608,423081,2023,0,0
248,450,Resistor 2.2K 1W,112,0,0.0,0,0,112,49280,2023,0,0
249,451,Resistor 2.7K 0.5W 5%,155,0,0.0,0,0,155,34100,2023,0,0
250,455,Resistor 22Ohm 0.5W,150,0,0.0,0,0,150,235000,2023,0,0
251,457,Resistor 2K 0.5W 5%,800,0,0.0,0,0,800,616000,2023,0,0
252,458,Resistor 2K 1W,123,0,0.0,0,0,123,54120,2023,0,0
253,461,Resistor 330Ohm 0.25W,673,0,49.0,0,49,722,109261,2023,0,0
254,465,Resistor 3K 0.5W,257,0,0.0,0,0,257,232540,2023,0,0
255,466,Resistor 3K 1W,5,0,0.0,0,0,5,2200,2023,1,0
256,468,Resistor 3.9K 0.5W,30,0,99.0,0,99,129,104181,2023,0,0
257,471,Resistor 40Ohm 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
258,472,Resistor 470K 0.25W,200,0,0.0,0,0,200,500000,2023,0,0
259,473,Resistor 470Ohm 0.5W,0,0,349.0,0,349,349,209051,2023,0,2
260,474,Resistor 47K 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
261,475,Resistor 47K 1W,72,0,29.0,0,29,101,158851,2023,0,0
262,477,Resistor 4K7 0.5W,333,0,99.0,0,99,432,320441,2023,0,0
263,478,Resistor 5K6 1W,100,0,0.0,0,0,100,110000,2023,0,0
264,479,Resistor 50K 0.25W,96,0,0.0,0,0,96,10560,2023,0,0
265,486,Resistor 5K 1W,150,0,0.0,0,0,150,26700,2023,0,0
266,488,Resistor 6K8 0.5W 5%,507,0,0.0,0,0,507,1267500,2023,0,0
267,489,Resistor 6K8 1W,150,0,0.0,0,0,150,28950,2023,0,0
268,491,Resistor 68K 0.5W 5%,140,0,0.0,0,0,140,350000,2023,0,0
269,492,Resistor 750Ohm 0.5W 5%,103,0,0.0,0,0,103,6180,2023,0,0
270,498,Resistor Metal Film 68K 0.25W,0,0,99.0,0,99,99,71181,2023,0,0
271,506,Rotari Switch 10 Titik,22,0,0.0,0,0,22,2349820,2023,0,0
272,510,Resistor 1.5K 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
273,511,Resistor 1.8K 0.25W,0,0,200.0,0,200,200,143800,2023,0,0
274,513,Resistor 10K 0.25W,0,0,319.0,0,319,319,191081,2023,0,0
275,531,Header Single,70,0,299.0,0,299,369,593535,2023,0,0
276,532,Skun Kabel U 5.5-8mm,225,0,499.0,225,274,499,149201,2023,0,2
277,533,Skun Kabel O 2.5mm,0,0,99.0,0,99,99,356004,2023,0,0
278,534,Skun Kabel U 1.5mm,83,0,2099.0,0,2099,2182,664121,2023,0,1
279,535,Skun Kabel U 2.5mm,93,0,649.0,0,649,742,234971,2023,0,2
280,536,Skun Kabel U 4mm,94,0,99.0,0,99,193,70961,2023,0,0
281,537,Skun O 1.5mm,0,0,99.0,0,99,99,356004,2023,0,0
282,539,Soket IC 14 Pin,270,0,49.0,0,49,319,189262,2023,0,0
283,540,Soket IC 28 Pin,47,0,49.0,0,49,96,79382,2023,0,0
284,542,"Solder Biasa Goot, 40W-220V",5,0,21.0,0,21,26,4052598,2023,0,0
285,544,SolderTembak Goot TQ 77,0,0,1.0,0,1,1,455544,2023,1,0
286,545,Soldering Iron Stand,1,0,10.0,0,10,11,524070,2023,0,0
287,550,Resistor 10Ohm 0.5W,0,0,49.0,0,49,49,35231,2023,0,0
288,551,Resistor 10Ohm 0.25W,0,0,49.0,0,49,49,35231,2023,0,0
289,553,Resistor 100K 0.25W,0,0,199.0,0,199,199,143081,2023,0,0
290,555,Resistor 100K 1W,0,0,74.0,0,74,74,53206,2023,0,0
291,557,Resistor 33K 0.25W,0,0,49.0,0,49,49,35231,2023,0,0
292,560,Tang Clemper UTP + Telp,2,0,0.0,0,0,2,69300,2023,1,0
293,561,Tang Crimping RJ 11,0,0,9.0,0,9,9,755244,2023,0,0
294,562,Tang Crimping RJ 45 (231652),4,0,3.0,0,3,7,289612,2023,0,0
295,564,Tang Kombinasi 6,19,0,0.0,0,0,19,2082850,2023,0,0
296,565,Tang Kombinasi 8,5,0,0.0,3,-3,2,171600,2023,1,0
297,566,Tang Kupas Gajah,1,0,0.0,0,0,1,82500,2023,1,0
298,567,Tang Kupas Multi   Sellery,17,0,0.0,3,-3,14,1155000,2023,0,0
299,572,Terminal Johnson Merah (campur),50,0,49.0,0,49,99,1087412,2023,0,0
300,576,Tespen 220V,8,0,39.0,8,31,39,280488,2023,0,0
301,580,Timah 1/4Kg,76,0,59.0,51,8,84,4348980,2023,0,0
302,587,Resistor 15K 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
303,588,Tool Set Electro,3,0,13.0,2,11,14,45599010,2023,0,0
304,591,Trafo 1A CT,50,0,29.0,50,-21,29,1042956,2023,1,0
305,592,Trafo 1A Orient,61,0,0.0,32,-32,29,1609500,2023,1,0
306,596,Trafo 500mA,29,0,49.0,29,20,49,1351028,2023,0,0
307,600,Trafo 5A CT ERA,0,0,1.0,0,1,1,47952,2023,1,0
308,603,Resistor 18K 0.5W,0,0,99.0,0,99,99,71181,2023,0,0
309,604,Resistor 180K 0.5W,0,0,199.0,0,199,199,143081,2023,0,0
310,607,Resistor 2.2K 0.25W,30,0,229.0,0,229,259,197651,2023,0,0
311,609,Transistor 2N 3904,0,0,99.0,0,99,99,59301,2023,0,0
312,610,Transistor 2N 4123,8,0,0.0,0,0,8,52800,2023,0,0
313,611,Transistor 2SA 1175,10,0,0.0,0,0,10,5500,2023,0,0
314,612,Transistor 2SA 733,50,0,0.0,0,0,50,43150,2023,0,0
315,613,Transistor 2SB 649A,20,0,0.0,0,0,20,18000,2023,0,0
316,615,Transistor 2SC 1815,89,0,0.0,0,0,89,35244,2023,0,0
317,617,Transistor 2SC 2922,3,0,0.0,0,0,3,115500,2023,1,0
318,618,Transistor 2SC 327,0,0,99.0,0,99,99,71181,2023,0,0
319,620,Transistor 2SC 373,20,0,0.0,0,0,20,150000,2023,0,0
320,622,Transistor 2SC 535,0,0,49.0,0,49,49,293706,2023,0,0
321,623,Transistor 2SC 710,100,0,0.0,0,0,100,120000,2023,0,0
322,624,Transistor 2SC 828,0,0,149.0,0,149,149,89251,2023,0,0
323,625,Transistor 2SC 829,0,0,149.0,0,149,149,178502,2023,0,0
324,626,Transistor 2SC 930,50,0,0.0,0,0,50,11500,2023,0,0
325,628,Transistor 9012,0,0,199.0,0,199,199,119201,2023,0,0
326,629,Transistor 9013,0,0,49.0,0,49,49,41111,2023,0,0
327,630,Transistor BD 139,0,0,49.0,0,49,49,35231,2023,0,0
328,633,Transistor BFY 51,8,0,0.0,0,0,8,192000,2023,0,0
329,635,Transistor BU 4508DX,20,0,0.0,0,0,20,31000,2023,0,0
330,636,Transistor C 106,174,0,49.0,0,49,223,926608,2023,0,0
331,638,Transistor FET 3N 201,25,0,0.0,0,0,25,181500,2023,0,0
332,639,Transistor FET IRF 630,20,0,0.0,0,0,20,150000,2023,0,0
333,640,Transistor FET K2545,20,0,0.0,0,0,20,150000,2023,0,0
334,644,Transistor FET MPF 102,0,0,149.0,0,149,149,1607561,2023,0,0
335,647,Transistor K30A,0,0,19.0,0,19,19,113886,2023,0,0
336,649,Transistor TIP 2955,153,0,0.0,0,0,153,1683000,2023,0,0
